GEOID,borough,tract_name,population,area_km2,pop_density,restroom_count,people_per_restroom,nearest_restroom_dist,Priority_Score,Priority_Class
36081018402,Queens,Census Tract 184.02,2829,0.2125466956670221,13310.016376034098,0,2829.0,896.0835153788266,0.014110725489161655,0
36081018600,Queens,Census Tract 186,1792,0.18094655297466533,9903.476858445054,0,1792.0,963.0108853400069,-0.09060915876888749,0
36081018800,Queens,Census Tract 188,1302,0.17886845603527918,7279.092294189645,1,651.0,873.795223193795,-0.39259444146269695,0
36081026902,Queens,Census Tract 269.02,4310,0.0784794037366328,54918.867814845136,0,4310.0,842.801742295644,0.29862030517576543,0
36081019200,Queens,Census Tract 192,2133,0.20104442446082962,10609.595395248485,0,2133.0,1398.320618557544,0.1389010749429066,0
36081030903,Queens,Census Tract 309.03,4284,0.3516976540443989,12180.917190477423,0,4284.0,1313.10859497751,0.27123192401358337,0
36081019600,Queens,Census Tract 196,3532,0.22289632178349644,15845.932188287525,0,3532.0,1834.4229692667307,0.4390902539886506,1
36081018900,Queens,Census Tract 189,3111,0.21770507622088767,14289.974556420177,0,3111.0,1593.604468572057,0.32757583394639384,0
36081019000,Queens,Census Tract 190,2542,0.18826195404340393,13502.46263466457,0,2542.0,2090.899641750158,0.4110337886653337,0
36081020400,Queens,Census Tract 204,2006,0.28664051578225364,6998.312832802245,0,2006.0,2150.9094999951667,0.27067061590376845,0
36081020600,Queens,Census Tract 206,1424,0.14861212818684513,9581.990496829785,0,1424.0,1929.4227902798918,0.1989764273469886,0
36081020800,Queens,Census Tract 208,3974,0.5432499682832724,7315.232824694425,1,1987.0,639.6518437220237,-0.31967718407117285,0
36081021200,Queens,Census Tract 212,2651,0.23976116770596162,11056.836373316026,1,1325.5,613.2563005667268,-0.35519643166383696,0
36081021400,Queens,Census Tract 214,5943,0.3807482206519678,15608.740048275484,0,5943.0,1867.4496625547654,0.5505219265822082,1
36081021900,Queens,Census Tract 219,0,1.3920579492396787,0.0,0,0.0,3341.369525873703,-2.4833693199672875,0
36081022001,Queens,Census Tract 220.01,6824,0.39570447728932406,17245.1927932333,2,2274.6666666666665,1140.9281073486613,0.13064635391031146,0
36081022900,Queens,Census Tract 229,0,1.3405904172948886,0.0,0,0.0,3224.268082209329,-2.5009006553681132,0
36081023000,Queens,Census Tract 230,1806,0.1657999086408115,10892.647739104088,0,1806.0,2222.4047143455814,0.3371834774136229,0
36081043701,Queens,Census Tract 437.01,3398,0.1456129795667031,23335.831806418242,0,3398.0,773.7499962740394,0.06999922657183959,0
36081061302,Queens,Census Tract 613.02,0,0.4870282107543379,0.0,0,0.0,1510.2499703933229,-2.873549993997002,0
36081071306,Queens,Census Tract 713.06,7012,0.18133589395401814,38668.5716054542,0,7012.0,1470.6661349116216,0.613533016407754,1
36081077906,Queens,Census Tract 779.06,3584,0.2890741015885967,12398.205097946347,1,1792.0,729.7969406743113,-0.19036977214303832,0
36081057900,Queens,Census Tract 579,1636,0.06834806603778552,23936.302734528792,0,1636.0,991.569304370489,0.04829119989678274,0
36081058000,Queens,Census Tract 580,4369,0.5504461467761522,7937.197899537163,0,4369.0,2647.5763516218412,0.5503536524411077,1
36081058100,Queens,Census Tract 581,2844,0.14360315452660552,19804.578871372138,0,2844.0,1022.4640960649185,0.14433394074482347,0
36081058900,Queens,Census Tract 589,5136,0.16527135114359254,31076.166343782683,2,1712.0,616.4376663378335,-0.13361521172152777,0
